,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
67,2010,El Salvador,1337085.0,40342.0,-285671.0,-9.339,6114039,0.218690950450267,-0.0467237778496342,1051414.0,1.18 ,2.10788757932909,3191368,530021,449587,346754,248363,171000,2922674,486174,363570,269172,192280,135273,1016195,813157,615927,440643,306274,56,2
68,2015,El Salvador,1512895.0,42059.0,-240415.0,-7.688,6231072,0.2427985104328757,-0.0385832485967101,1272480.0,-0.73 ,2.40000000000001,3254995,570777,449958,378910,280304,194108,2976078,566465,363804,288994,206864,146094,1137243,813761,667905,487169,340200,244,0
69,2020,El Salvador,1599058.0,42767.0,-202694.0,-6.329,6292734,0.2541118057747237,-0.0322108005836572,1396364.0,-0.37 ,-8.17721743762763,3295298,614293,447084,403867,316872,219458,2997431,634978,386754,298685,226668,155249,1249274,833839,702550,543538,374706,158,4
70,1990,Guatemala,348189.0,264257.0,-299909.0,-6.854,9084779,0.0383266340325945,-0.0330122504906283,48280.0,41.22 ,3.10256317557587,4547583,737722,505976,314928,210395,158765,4537206,696158,490910,319277,217500,149289,1433881,996885,634206,427896,308053,28,0
71,1995,Guatemala,461891.0,156188.0,-367469.0,-7.472,10363096,0.0445707537593012,-0.0354593839524404,94422.0,8.41 ,4.94854750210382,5204034,847195,586610,387354,227755,179366,5159071,807808,542915,377415,236576,166245,1655005,1129522,764766,464333,345612,25,2
72,2000,Guatemala,582796.0,48119.0,-402326.0,-7.295,11735893,0.0496592802950742,-0.034281669064297,180470.0,5.98 ,3.6088687174876,5903051,986902,659788,461105,282448,181819,5832849,966328,596069,428038,271756,178996,1953229,1255853,889141,554204,360814,17,2
73,2005,Guatemala,736715.0,57214.0,-281050.0,-4.543,13132818,0.0560972519378552,-0.0214005859214678,455665.0,9.11 ,3.27602692588886,6614607,1143051,751563,530116,350122,199728,6518218,1148599,689655,462901,321482,196671,2291650,1441216,993017,671605,396402,10,0
74,2010,Guatemala,924898.0,66386.0,-114231.0,-1.648,14543126,0.0635969185717018,-0.0078546386794696,810667.0,3.86 ,2.88417542800377,7334204,1316933,892142,603618,421685,248064,7208917,1336964,845485,517019,370979,226226,2653897,1737628,1120640,792664,474291,8,5
75,2015,Guatemala,1118115.0,74852.0,-50131.0,-0.649,16001105,0.0698773615947148,-0.0031329711291813,1067984.0,2.39 ,4.09217081621244,8074919,1502039,1063869,703920,490816,310075,7926193,1525884,1040179,618640,407671,271855,3027921,2104046,1322561,898490,581922,39,73
76,2020,Guatemala,1368431.0,84311.0,-46073.0,-0.539,17362716,0.0788143398763188,-0.002653559500714,1322358.0,3.21 ,-1.76408292563957,8764441,1655953,1235651,842236,562037,374064,8598288,1680624,1229468,771404,459696,314636,3336576,2465121,1613641,1021730,688700,10,57
77,1990,Guyana,233318.0,4095.0,-102648.0,-27.124,747124,0.3122881877707047,-0.1373908481055353,130670.0,11.15 ,-3.06748466406728,377436,74626,51060,30656,19271,13620,369703,71593,49796,30241,18817,12750,146220,100854,60894,38088,26371,3,0
78,1995,Guyana,295292.0,6352.0,-57867.0,-15.384,751702,0.392831201726216,-0.0769813037613309,237425.0,12.21 ,5.03144655812085,378577,71919,55106,34710,19751,12796,373138,68865,54233,34691,19390,12081,140783,109336,69401,39142,24877,2,0
79,2000,Guyana,362157.0,8610.0,-86647.0,-22.983,759059,0.4771131097846149,-0.1141505469271822,275510.0,6.15 ,-1.36380390261873,380564,67304,56457,39111,22085,13219,378502,65479,55764,39198,21960,12180,132779,112221,78309,44047,25398,2,0
80,2005,Guyana,392555.0,10868.0,-63249.0,-16.947,759713,0.5167148646923246,-0.0832538076879031,329306.0,6.93 ,-1.95095759501714,380663,61992,55610,43211,26042,14045,379062,60864,54507,43393,25815,12974,122855,110115,86603,51857,27017,1,12
81,2010,Guyana,439233.0,8182.0,-50078.0,-13.394,747937,0.5872593547317488,-0.0669548371052642,389155.0,3.73 ,4.13844160137342,375952,59713,53512,44838,30664,16484,371999,58284,51706,44267,29888,15349,117996,105219,89103,60553,31831,5,0
82,2015,Guyana,481258.0,8661.0,-34999.0,-9.229,755043,0.6373915128012577,-0.0463536513814445,446259.0,-1.00 ,0.687521210092171,383411,66230,50991,46293,35494,20418,371636,63023,47269,43777,33944,18335,129254,98265,90068,69438,38753,2,3
83,2020,Guyana,438413.0,31169.0,-30001.0,-7.722,797207,0.5499362148099552,-0.0376326349367228,408412.0,0.99 ,43.4795559399402,407314,74260,53131,48448,39817,25406,389911,72455,47967,44053,36708,22094,146712,101098,92499,76524,47501,3,1
84,1990,Haiti,524711.0,19084.0,-135001.0,-4.037,6925335,0.0757668762594156,-0.0194937862211719,389710.0,21.28 ,1.03812280198248,3500955,564939,407755,280939,209024,138890,3424383,565271,401240,276893,193240,109669,1130209,808997,557831,402263,248558,5,0
